,cites
1703,0
1755,0
1766,2
1780,7
1787,0
1793,0
1800,0
1813,0
1817,6
1828,1
1835,4
1839,19
1840,0
1844,1
1845,0
1848,0
1857,5
1863,0
1864,5
1869,0
1870,0
1878,57
1884,72
1888,0
1894,0
1896,0
1897,0
1900,0
1903,0
1908,0
1912,1
1915,1
1916,5
1918,6
1920,1
1923,1
1924,0
1926,0
1929,0
1931,0
1934,19
1935,7
1938,1
1939,4
1941,0
1943,0
1944,0
1945,0
1946,0
1948,0
1949,14
1951,0
1952,3
1953,67
1954,7
1955,14
1956,62
1957,0
1958,0
1959,0
1960,1
1961,27
1962,13
1963,48
1964,40
1965,43
1966,118
1967,111
1968,716
1969,493
1970,429
1971,465
1972,748
1973,7457
1974,730
1975,986
1976,1097
1977,1221
1978,2153
1979,3116
1980,3194
1981,4608
1982,7457
1983,2872
1984,8347
1985,9036
1986,12718
1987,15315
1988,18325
1989,20319
1990,22838
1991,29961
1992,27472
1993,26838
1994,28488
1995,46161
1996,44590
1997,97026
1998,51789
1999,62620
2000,78657
2001,101276
2002,119392
2003,99561
2004,108259
2005,120650
2006,140825
2007,175803
2008,173339
2009,197515
2010,169914
2011,187389
2012,196365
2013,222565
2014,188660
2015,214001
2016,241577
2017,220438
2018,194813
2019,181417
2020,157406
2021,112321
2022,75300
2023,33550
2024,7454
