"community","keyword","frequency"
1,"agroecology",51
2,"avian ecology",23
3,"biodiversity",127
2,"biodiversity conservation",50
1,"biogeography",72
1,"climate change",93
1,"community ecology",101
1,"conservation",96
3,"conservation biology",306
3,"conservation ecology",24
3,"conservation planning",22
2,"disturbance ecology",35
2,"ecological modeling",22
2,"ecological modelling",21
2,"ecology",139
3,"ecosystem services",150
1,"entomology",36
1,"fire ecology",56
1,"forest ecology",75
2,"forestry",26
1,"geography",45
3,"gis",137
2,"herpetology",29
1,"landscape architecture",29
3,"landscape ecology",2080
1,"landscape planning",32
3,"movement ecology",22
1,"ornithology",41
1,"plant ecology",38
1,"population ecology",31
3,"remote sensing",236
3,"restoration ecology",58
2,"social-ecological systems",24
2,"spatial analysis",28
2,"spatial ecology",48
2,"urban ecology",89
1,"wildlife ecology",41
