,number_of_papers
1703,1
1755,1
1766,1
1780,1
1787,1
1793,1
1800,1
1813,1
1817,1
1828,1
1835,1
1839,1
1840,1
1844,2
1845,1
1848,1
1857,1
1863,2
1864,2
1869,1
1870,1
1878,1
1884,1
1888,1
1894,1
1896,2
1897,1
1900,3
1903,1
1908,2
1912,1
1915,1
1916,1
1918,1
1920,1
1923,1
1924,1
1926,1
1929,1
1931,1
1934,1
1935,1
1938,1
1939,1
1941,1
1943,1
1944,1
1945,1
1946,1
1948,1
1949,2
1951,1
1952,1
1953,5
1954,2
1955,2
1956,5
1957,3
1958,2
1959,2
1960,7
1961,8
1962,5
1963,4
1964,8
1965,13
1966,5
1967,9
1968,33
1969,19
1970,36
1971,11
1972,34
1973,42
1974,52
1975,56
1976,62
1977,81
1978,102
1979,102
1980,101
1981,134
1982,160
1983,172
1984,193
1985,190
1986,189
1987,263
1988,326
1989,335
1990,373
1991,429
1992,459
1993,534
1994,646
1995,712
1996,788
1997,862
1998,958
1999,1057
2000,1234
2001,1361
2002,1433
2003,1670
2004,1790
2005,2204
2006,2528
2007,2832
2008,3139
2009,3292
2010,3670
2011,3815
2012,4141
2013,4460
2014,4496
2015,5090
2016,5323
2017,5935
2018,6181
2019,6612
2020,6078
2021,6672
2022,6590
2023,6166
2024,5561
